"Message","Status","Department"
"Kpd Bpk.Gubernur Yth :Mohon ad ketetapan dri phk terkait tentang potongan/tata cara jual-beli emas di kmpg saya,Tegal-Slawi-Brebes.karena ketentuan yg ada sekarang sangat merugikan rakyat kecil.mhn di tertibkan pak","Selesai","DINAS PERINDUSTRIAN DAN PERDAGANGAN"
"Pak gubernur untuk pengurusan e-ktp sangat lm sudah mau satu tahun belum jadi.payah..untuk di kecamatan bumiayu kab.brebes.atas nama ecip suwandito.","Selesai","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL"
"Ass..tolong kami pak gubernur..jalur tengah bumiayu-ajibarang dikuasai truk besar dan berat smpe macet total kami masyarakat tidak bs beraktifitas anak2 kesulitan brangkat sekolah krn angkot tidak beroperasi blm lg korban jiwa yg tergilas roda truk...tolong kami pak...","Selesai","DINAS PENDIDIKAN DAN KEBUDAYAAN"
"Kepada Yth Gubernur Jateng. Saya pemilik nopol G 5758 SS tertera dikeluarkan STNK sejak tgl 24 September 2011 sudah 3 tahun bayar pajak kendaraan roda dua tidak ada masalah. Pada tgl 15 September 2014 ketika akan bayar pajak kendaraan di Kantor Samsat Pekalongan ternyata sudah berganti nama pemilik ( satu nopol dua pemilik ) yg berdomisili di Brebes, padahal alokasi nopol tsb kota Pekalongan. Saya konfirmasi ke petugas Samsat Pekalongan karena kesalahan server Samsat dan pihak yg bisa mengganti/merubah data tsb pihak samsat pusat Semarang. Kenapa bisa terjadi pemilik ganda ? Kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl 24 September 2014. ( Orang Bijak Taat Pajak jangan dipersulit ) Atas perhatian & kerjasamanya saya ucapkan terima kasih.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Kepada Yth Gubernur Jateng. Saya pemilik nopol G 5758 SS tertera dikeluarkan STNK sejak tgl 24 September 2011 sudah 3 tahun bayar pajak kendaraan roda dua tidak ada masalah. Pada tgl 15 September 2014 ketika akan bayar pajak kendaraan di Kantor Samsat Pekalongan ternyata sudah berganti nama pemilik ( satu nopol dua pemilik ) yg berdomisili di Brebes, padahal alokasi nopol tsb kota Pekalongan. Saya konfirmasi ke petugas Samsat Pekalongan karena kesalahan server Samsat dan pihak yg bisa mengganti/merubah data tsb pihak samsat pusat Semarang. Kenapa bisa terjadi pemilik ganda ? Kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl 24 September 2014. ( Orang Bijak Taat Pajak jangan dipersulit ) Atas perhatian & kerjasamanya saya ucapkan terima kasih.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Sampai kapan lalulintas tanjung menuju salem dibiarkan rusak terbengkalai tanpa adanya perhatian pihak terkait.apalagi dilintasan gn lio yg jalannya menanjak drastis ditambah jalannya yg amburadul...mohon perhatiannya dr pihak terkait. Terimakasih","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Asalamualaikum,dengan sangat memohon saya atas nama warga berebes ,desa kedung tukang1,saya mau menginformasikan di desa saya ada bantuan yg tidak jelas dan yang mendapatkan malah orang yg mampu tolong di tindak lanjutilanjuti,","Selesai","DINAS TENAGA KERJA DAN TRANSMIGRASI"
"Maaf Pa, kapan ada kereta api yang langsung dari brebes ke semarang? dulu KA kaligung bisa dari brebes. sangat membantu kami karena segala urusan kami kebanyakan ke semarang. Belum lagi anak-anak kami yang menimba ilmu di semarang, bener itu sangat membantu kami. terima kasih Pa...","Selesai","DINAS PERHUBUNGAN"
"daerah kampung pacinan kalilangkap bumiayu brebes penambangan pasir sudah sangat meresahkan. dulu hanya pertambangan rakyat sekarang sdh pakai alat berat (jenis bego) mohon di tindak lanjuti dan sangat merusak lingkungan serta jalan.","Selesai","DINAS ENERGI DAN SUMBER DAYA MINERAL"
"hallo pak gub, saya mau menyampaikan pengaduan untuk samsat TANJUNG BREBES, di bagian cek fisik kendaraan masih banyak yang pungli, kemarin saya di tarif 30rb untuk cek fisik ranmor, padahal menurut aturan tidak ada yang namanya pembayaran cek fisik, apalagi ini tidak di sertai struk, dan untuk distribusi TNKB sangat lambat sekali, sudah 9 bulan bahkan lebih TNKB belum jadi, klo ga di ambil langsung ke brebes ga bakal jadi jadi, gimana masyarakat mau nyaman bayar pajak, mau tertib pajak aja pelayanannya begini, mohon ditindak lanjuti oknum tersebut. trimakasih","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Saya mau bayar pajak 5 tahunan di samsat tanjung brebes, kebetulan untuk pergantian stnk dan tnkb baru harus di lakukan cek fisik ulang ranmornya, ada yang ganjal di sini pada saat di lakukan cek fisik ranmor, petugas samsat meminta tarif Rp. 30.000, padahal menurut aturan yang ada tidak ada yg namanya pembayaran cek fisik, dan lebih anehnya lagi di struk pembayaran tidak dicantumkan yang namanya pembayaran cek fisik, karena sudah adanya pembayaran STNK dan TNKB, kalo begini siapa yang mau nyaman bayar pajak, masyarakat tidak bayar wajib pajak disalahkan, mau tertib pajak malah di buat begini, berikut saya sertakan bukti videonya: https://www.youtube.com/watch?v=7oUP8IzoAYg&feature=youtu.be silahkan biar masyarakat yang menilai","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Mohon maaf pak Gub, sejak beberapa hari yang lalu, pohon-pohon peneduh di sepanjang jalan provinsi Bumiayu-Salem ditebangi SEMUA (baik yang tua atau muda) tanpa penjelasan pada publik. padahal keberadaannya sangat dibutuhkan untuk kenyamanan pengguna jalan. mohon Bapak mengonfirmasi pada dinas terkait","Selesai","DINAS LINGKUNGAN HIDUP DAN KEHUTANAN"
"Assalammualaikum wr.wb. Yth. Pak Gubernur, tanggul sungai Cisanggarung Desa Bojongsari, Kec. Losari – Brebes sudah tipis/terkikis, dikhawatirkan tanggul bisa jebol sewaktu – waktu jika hujan besar tiba. Mohon untuk segera diambil tindakan Pak, karena warga desa sangat cemas jika hujan sudah turun tanggul bisa jebol kapan saja. Terima kasih atas perhatiannya. Mohon untuk segera diambil tindakan, Pak.","Selesai","DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG"
"kepada bapak gubernur ganjar pranowo,sungguh ironis yang terjadi di kec.bumiayu kab.brebes,ditengah-tengah upaya pemeliharaan nilai-nilai luhur pahlawan yang telah gugur,nasib penjaga Taman Makam Pahlawan Kusuma Tama II Bumiayu,seolah terabaikan.penjaga TMP tidak menerima honor tetap maupun berkala dari Pemkab Brebes,dia hanya diberi keleluasaan untuk mengolah sebidang tanah kecil,tanah sawah dengan penghasilan setiap panen tidak menentu .disisi lain,penjaga TMP terbebani operasional perawatan yang secara rutin wajib dilakukan.Mulai kebersihan,pemangkasan rumput maupun pengadaan lampu penerangan.bahkan ironisnya lagi,penjaga TMP juga membayar Surat Pemberitahuan Pajak Terutang(SPPT)atas sawah yang digarap,yang sedianya merupakan(mungkin)milik pemerintah.tanpa mengurangi rasa hormat,sebagai warga masyarakat .kami merasa prihatin atas kondisi yang telah berlangsung lama ini.mohon kiranya Pak Gub dapat memfasilitasi,untuk turut serta memperhatikan nasib penjaga TMP.demi terpeliharanya rasa bangga kasebagai bangsa yang memiliki pahlawan.Matur Sembah Suwun","Selesai","BADAN KEPEGAWAIAN DAERAH"
"kepada bapak gubernur ganjar pranowo,sungguh ironis yang terjadi di kec.bumiayu kab.brebes,ditengah-tengah upaya pemeliharaan nilai-nilai luhur pahlawan yang telah gugur,nasib penjaga Taman Makam Pahlawan Kusuma Tama II Bumiayu,seolah terabaikan.penjaga TMP tidak menerima honor tetap maupun berkala dari Pemkab Brebes,dia hanya diberi keleluasaan untuk mengolah sebidang tanah kecil,tanah sawah dengan penghasilan setiap panen tidak menentu .disisi lain,penjaga TMP terbebani operasional perawatan yang secara rutin wajib dilakukan.Mulai kebersihan,pemangkasan rumput maupun pengadaan lampu penerangan.bahkan ironisnya lagi,penjaga TMP juga membayar Surat Pemberitahuan Pajak Terutang(SPPT)atas sawah yang digarap,yang sedianya merupakan(mungkin)milik pemerintah.tanpa mengurangi rasa hormat,sebagai warga masyarakat .kami merasa prihatin atas kondisi yang telah berlangsung lama ini.mohon kiranya Pak Gub dapat memfasilitasi,untuk turut serta memperhatikan nasib penjaga TMP.demi terpeliharanya rasa bangga kasebagai bangsa yang memiliki pahlawan.Matur Sembah Suwun","Selesai","BIRO KESEJAHTERAAN RAKYAT"
"Assalamu'alaikum yang kami hormati Bapak Gubernur Jateng, mohon ijin kami mewakili masyarakat Brebes, khusunya Desa sigempol Randusanga Kulon memohon kepada Bapak gubernur untuk mencarikan investor yang bisa membangun Pabrik pengolahan rumput laut di daerah kami , sehingga akan dapat menyerap tenega kerja lokal dan sumber alam yang sangat melimpah yaitu rumput laut jenis gracilaria tertampung di pabrik tersebut. Jika sudah mempunyai pabrik di jawa tengah maka masyarakat jawa tengah , khususnya petani rumput laut sepanjang pantai utara jawa tengah tidak lagi menjual keluar wilayah ( jawa barat dan jawa timur ), Demikian mohon sekiranya bapak gubernur bisa menanggapi dengan serius dan bijaksana demi kemajuan masyarakat jawa tengah . Demikian kami tunggu konfirmasinya dan jawabanya. Wassalamu'alaikum","Selesai","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU"
"yth. Bpak gubernur jateng. apakah benar biaya pembuatan sertifikat tanah di kab. Brebes mahal. Saya membeli tanah seluas 377m2 dengan harga 150 juta. Saya diminta membayar pembuatan sertifikat sebesar 15 juta. Saya sedang bekerja dikorea dan yang mengurus pembuatan sertifikat orang tua saya. Mohon penjelsan secepatnya. Terima kasih atas waktu bpak.","Selesai","Kabupaten Brebes"
"Yth, Bpk Ganjar Pranowo, Gubernur Jawa Tengah. Bapak mohon diperhatikan Infrastruktur jalan menuju Desa Pandansari, Kec Paguyangan & Desa wanareja, Kec. Sirampog, Kab Brebes. yang terkenal dengan Agrowisata Perkebunan Teh Kaligua. Jalannya sangat rusak dan tidak ada perhatian dari pemda setempat (kab Brebes). Padahal Perekonomian di desa tersebut sangat maju dari hasil pertaniannya (Hortikultura). yang dibutuhkan masyarakat setempat hanyalah infrastruktur jalan yg baik dari jalan raya menuju desa setempat. Bapak Gubernur juga pernah kesana, berharap Pemprov dan Pemda tidak hanya mengambil pajak masyarakat, tetapi tidak ada timbal balik dari Pemprov & Pemda untuk masyarakat. tks","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"LAPOR jalan Desa Sarireja kec. Tanjung kab. Brebes rusak parah. Sepanjang jalan desa rusak berlubang. Kalau hujan seperti rawa rawa. Adapula jembatan yg berlubang ditengah.","Selesai","Kabupaten Brebes"
"Assalamualaikum,wr.wb,,,, pak ganjar yth, pak saya warga brebes, yang mayoritas bermata pencaharian sebagai petani bawang merah, pak harga pupuk di brebes mahal, belum lagi harga irigasi dll,,,, padahal pak harga pasar saat sekarang sangat amat murah pak, tidak sepadan dengan harga pupuk sekarang, pak saya mohon kalau mau harga pasar yang murah tolong harga pupuk dan yang lain juga dibetulkan pak, saya sangat ironis sekali ketika petani di brebes sangat banyak yang gulung tikar karena tidak sepadan dengan harga pasar, mudah mudahan pak ganjar yth bisa melihat dan mungkin bisa sidak ke petani brebes, bisa merasakan kesulitan kami, terimakasih pak ganjar, mudah mudahan saja pak ganjar dapat melihat tulisan ini, wassalamuallaikum,wr.wb","Selesai","DINAS PERINDUSTRIAN DAN PERDAGANGAN"
"Lapor pa Gubernur, tolong di tindak lanjuti, inilah hasil pekerjaan jalan Salem-Banjarharjo yg menghabiskn anggaran milyaran rupiah.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"pak gubernur yang kami hormati. saya mau melapor pak. saya kecewa dgn penanganan RSUP DR KARIADI semarang. saudara saya yg sedang menderita tumor ganas d rawat d sana sampai detik ini sudah sebulan lebih tp blm ada penanganan apa apa. pasien d biarkan tergeletak saja. kami mohon bapak bantu kami untuk bicara ke pihak RS nya pak.agar cepat d tangani ini masalah nyawa. mungkin kalau pejabat yang ngomong akan langsung di tangaapi. pasien bernama Prapti Yuniarsih dari kota brebes pak. kesana dgn bantuan BPJS. terima kasih pak","Selesai","DINAS KESEHATAN"
"LAPOR saya pemenang lelang pembangunan talud saluran dan plat deuker di desa tegal glagah, kec. Bulakamba, kab. Brebes ; pemilik pekerjaan : Dinas Cipta Karya dan Tata Ruang Provinsi Jateng : sumber dana APBD Prov Jateng sampe sekarang tidak ada tindak lanjut padahal pengumuman lelang sejak tgl. 3 Juli 2013 : dengan penjelasan tidak berani mencairkan dana hibah atau bansos karena terbentur aturan pusat , tapi sekarang sudah keluar SE Mendagri ! Mohon pak GUB memberikan penjelasan mau di cairkan tidak dana hibah atau bansos tersebut ! Jangan takut pak gub , kalo ada apa apa ya mendagri yang bertanggung jawab ! Matur nuwun pa","Selesai","DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN"
"Yth. Bapak Gubernur tolong awasi operasi kendaraan yang ada di brebes, karena hampir berlangsung setiap hari khususnya di jembatan kali pemali maupun di tempat lain, dikhawatirkan adanya praktek sidang di tempat. Terima Kasih","Selesai","DINAS PERHUBUNGAN"
"DI BREBES, BERKAS SURAT TILANG TIDAK DIKIRIM KE PENGADILAN. Saat tanggal sidang, oleh Pengadilan kami disarankan ke Kantor Polres Brebes, ternyata di sana sudah ada antrian cukup panjang, orang2 senasib dng kami. Denda pelanggaran lalin harus dibayar di situ, tanpa bukti pembayaran apapun, Rp. 100.000,- untuk semua jenis pelanggaran. MASYALLAH. Tolong pak Gubernur yth, hari gini masih ada juga oknum polisi yg ""bermain"". Terima kasih.","Selesai","Kepolisian Daerah Jawa Tengah"
"LAPOR laporan mohon d tindak lanjuti adanya kenaikan pengurusan stnk/bpkb unit baru d samsat brebes sebesar 35.000 dan sekarang mau d wacanakan kembali k","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Pungli dijembatan timbang tanjung-pejagan kab.brebes tolong ditindak secara diam-diam sbb ada oknum anggota yg terlibat dan selalu membocorkan sehingga selalu lolos razia.Jam aktif mereka jam 18.00wib sampai 21.00 wib","Selesai","DINAS PERHUBUNGAN"
"LAPOR pungli saat ini pun masih berlangsung hampir 24 jam dijembatan timbang tanjung-pejagan kab.brebes.Mohon segera ditindak secara diam-diam.Sbb ada anggota polisi yg terlibat langsung ditempat.Mereka selalu lolos razia karena ada yg membocorkan.Lapor pada polisi setempat tidak ada tanggapan.","Selesai","DINAS PERHUBUNGAN"
"Yth.Gubernur Telah terjadi pungli di jembatan timbang kawasan tanjung kab.brebes jateng.Mereka meminta jatah setiap hari dgn bebas dan di bekingi oleh oknum polisi.Jam aktif pungli jam 17.50wib sampai malam penuh.Pendapatan mereka mencapai jutaan hingga puluhan juta perhari.Mohon ditindak secara tegas dan rutin.Berikan sanksi buat para polisinya sekalian biar jera.","Selesai","DINAS PERHUBUNGAN"
"BANYAK DITEMUKAN KEDHOLIMAN DI PEGAWAI DISPENDUKCAPIL KAB. BREBES, DARI CALO-CALO PEMBUATAN E-KTP, KK / DLL SERTA PUNGLI BIAYA PENGAMBILAN E-KTP DLL, MOHON PAK GUBERNUR MEMBERSIHKAN HAL HAL YG BERKAITAN TERSEBUT, SESUDAHNYA KAMI SAMPAIKAN BANYAK TERIMA KASIH, SALAM PERJUANGAN..!!! MERDEKA ...!!! BY. AN'IM FALAKHUDIN (FULL TIMER IBU RENNY WARA S. PERMANA / KAKAK KANDUNG BPK. PRAMONO ANUNG)","Selesai","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL"
"HIDUP PUNGLI DIJEMBATAN TIMBANG TANJUNG BREBES YANG SUDAH BERAKSI KEMBALI.SELAMAT MENIKMATI UANG PARA SOPIR YG LOLOS DARI JEMBATAN TIMBANG.PAK POLISINYA CERDAS,,KEADAAN ITU LANGSUNG DIMANFAATKAN DAN UANGNYA MASUK KANTONG PRIBADI.SEKALI LAGI SELAMAT.","Selesai","DINAS PERHUBUNGAN"
"Yth.Bapak Gubernur Terima kasih sudah menindak lanjuti praktek PUNGLI di Jembatan Timbang Tanjung Kab.brebes beberapa waktu yang lalu.Namun sangat di sayangkan,praktek pungli itu kembali lagi.Sekarang operasi mereka dilakukan pada pukul 17.30 wib hingga pagi dan di belakangi oknum polisi dan TNI.Praktek mereka msh sama disebuah warung 50m sebelah timur Jembatan Timbang.Mohon ditindak secara tegas dan rutin.Jalan rusak bukan mereka yg benerin,tapi uang masuk kantong mereka.TOLONG DI PERHATIKAN benar-benar.Terima kasih.","Selesai","DINAS PERHUBUNGAN"
"Lpaor Pak Gubernur yth.Saya tahu Pak yg melakukan PUNGLI di jembatan timbang Kec.Tanjung Kab.Brebes memang bukan Pegawai yg bekerja di Jembatan timbang itu.Tapi mereka pun tahu dan sengaja membiarkan.Justru yg mengambil PUNGLI itu adalah orang awam biasa yg diperalat oknum Polisi dan Pegawai dari DISHUB itu sendiri.Mohon ditindak secara diam-diam sbb oknum Polisi itu bersembunyi di sebuah warung 50m sebelah timur jembatan timbang.Mereka mendapatkan keuntungan besar perharinya,jangan tertipu oleh kebohongan yg katanya cuma 15rb-20rb saja tapi jutaan.Silahkan di amati dgn seksama,jalan rusak siapa yg bertanggung jawab,mereka cuma parasit keringat sopir truk.Maaf bila ada perkataan yg kurang sopan.Dan lucunya para pemungut itu tiap kali mau digaruk pasti sudah tak ada di tempat sehingga seolah-olah laporannya yg palsu,jam Pungli mereka berubah menjadi pukul 17.30wib sampai malam menjelang pagi,Terima kasih.","Selesai","DINAS PERHUBUNGAN"
"Tolong Kepada Pihak terkait untuk di lakukan sidak di samsat tanjung brebes, karena untuk Pembayaran pajak 5 tahunan dengan cek fisik kendaran masih ada pungli sebesar Rp.30.000, di minta dengan alasan UANG GOSOK tanpa adanya bukti pembayaran/struk, Padahal di SKPD sudah jelas ada pembayaran ADM TNKB DAN STNK, saya mohon janganlah masyarakat di buat bodoh. Terimakasih atas tanggapannya","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Lapor Gubernur Yth.PUNGLI di Jembatan Timbang Kec.Tanjung Kab,Brebes ternyata belum steril dari PUNGLI yg masih main kucing-kucingan.Mereka sangat pintar mencari waktu disaat sudah aman dari pengawasan.Terlihat jelas penghasilan yg mereka dapatkan begitu besar sehingga mereka berani menantang resiko hukum.Sebut saja salah satu pelaku pungli itu bernama Carlan yg berasal dari desa Kemurang Kulon.Dalam waktu 3 bulan mampu meraup uang sebesar 35 juta lebih utk membeli motor baru dan kebutuhan mewah lainnya.Kerja mereka berkelompok dan bergilir.Bila di kumpulkan ada 10 orang lebih termasuk oknum polisi dan TNI yg membekingi mereka.Saya benci mereka yg memanfaatkan keadaan demi keuntungan pribadi tanpa tahu jalan rusak karena ulah mereka.Terima kasih atas tindakan yg telah dilakukan dan akan terus saya LAPORKAN bila masih saja tindakan PUNGLI itu berjalan lagi.","Selesai","DINAS PERHUBUNGAN"
"Mohon adanya normalisasi di anak sungai kaligangsa wetan.karena sering banjir di perum taman indo. Desa kaligangsa wetan kab.brebes Kondisi elevasi dasar sungai sangat tinggi. Hampir sama dg daratan.","Selesai","DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG"
"Mohon di permudah bikin ktp,udah 4 bulan belom jadi,di desa grinting.kec:bulakamba,kab:brebes","Selesai","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL"
"Petani di daerah brebes,kec;bulakamba,Desa.grinting.kalau mau mengairi sawah masa kudu bayar,kalau gak bayar ga di aliri,kalau di bayar juga ada jam nya.gi mana mau maju petani nya,ini musim padi tolong di lancar kan air nya.","Selesai","DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG"
"LAPOR YTH PEMPROV JATENG, mohon tertibkan atau gusur, atau relokasi warung poci malam hari di jalan PROF M YAMIN BREBES belakang kantor pos yang merusak limgkungan, meresahkan, menyediakan MIRAS secara terselubung.","Selesai","SATPOL PP"
"LAPOR Yth.Pak Gubernur.Saya sangat kecewa dengan terhentinya pengawasan aktif pada Jembatan Timbang di Tanjung - Brebes.Saya sudah melihat ada kamera cctv yg terpampang namun Pungutan Liar masih saja terjadi.Sudah saya beritahukan bahwa PUNGLI itu menghasilkan uang yg besar makanya mereka tak mau melepaskan penghasilan itu begitu saja.Mereka bersembunyi bila ada patroli namun mereka kembali beraksi saat sudah aman.Saya beritahukan Pak,jam aktif mereka sekarang antara jam 03.00 wib sampai 05.00 wib.Bahkan saya pernah melihat mereka aktif dari sore hari sampai pagi hari.Mereka tak akan berhenti melakukan PUNGLI itu sampai mereka benar-benar ditangkap.Dan yg lebih penting itu adalah oknum yg membekingi mereka.Mohon di cek kembali sampai benar-benar bersih dan lakukan secara rutin.Terima kasih.","Selesai","DINAS PERHUBUNGAN"
"LAPOR BAPAK GUBERNUR,PUNGLI di jembatan timbang Tanjung kab.Brebes ternyata masih aktif.Tolong segera ditindak dan ditangkap orang2 yang menarik iuran dari truk2 yang melintas.Mereka menarik upeti diluar area Jembatan timbang dan bebas membagikan hasilnya dgn para petugas yang bersembunyi didalam warung.Mereka melakukannya antara jam 02.30 sampai jam 05.00 pagi.Ada kamera CCTV tapi mereka masih nekat atau kameranya memang tak berfungsi maksimal.Terima kasih dan tolong ditinjau kembali.","Selesai","DINAS PERHUBUNGAN"
"Lapor pak ganjar, ngapunten infrastruktur disepanjang jalan pantura mohon diperbaiki sebelum pekan mudik nggih pak, dikarenakan selama ini proyek perbaikan justru malah menimbulkan macet di waktu2 yg padat mudik. Mohon maaf krn jika kami masuk brebes maka akan jelas terlihat kualitas jalan antara jabar dan jateng. Setidaknya dikota2 gerbang jateng diperindah pak. Matur nuwun pak gubernur.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
