Message,Status,Department
mohon maaf sebelumnya saya kursin umur tahun tinggal di desa kaligangsa wetan kecamatan brebes saya memiliki adik bernama mahrifah umur tahun yang sehari hari bekerja di kebidanan rsud kajen sebagai tenaga blud dan menjadi peserta bpjs ketenagakerjaan adik saya tinggal dengan bapak saya di desa tegalsuruh rt rw kecamatan sragi kabupaten pekalongan adik saya mengalami kecelakaan saat berangkat dinas tanggal januari dan meninggal di rumah sakit budi rahayu kota pekalongan tanggal januari menurut pihak rsud kajen adik saya sudah dibayarkan iuran bpjs ketenagakerjaan sampai bulan januari dan saya diminta mengajukan klain jaminan kecelakaan kerja jkk dan saya pun mengajukan klain jaminan kecelakaaan kerja tanggal januari kelengkapan berkas pengajuan lengkap tanggal januari karena menunggu surat keterangan dari bpjs kesehatan karena adik saya meninggal di rs dan dibiayai oleh bpjs kesehatan dan jasa raharja pada saat mengumpulkan kelengkapan berkas dari pihak bpjs ketenagakerjaan meminta saya untuk menunggu konfirmasi selanjutnya dan semua kekurangan akan dikoordinasikan dengan pihak terkait dan akan dilakukan proses pencairan setelah lengkap berkas pengajuan ketika saya tanyakan proses pengajuan jkk saya hanya disuruh menunggu terus tanpa penjelasan yang memadai ternyata sampai hari ini belum cair juga jkk yang kami tunggu tunggu dan ketika saya tanyakan ada penjelasan dari pihak bpjs bahwa kesertaan bpjs adik saya sudah non aktif saat mau dicairkan tanggal april sehingga menurut pihak bpjs perlu kebijakan dari pimpinan bpjs di wilayah jawa tengah dan pusat untuk itu meskipun saa tahu ini bukan kewenangan dari pak gubernur tetapi kami mohon bantuannya bepada bapak gubernur dapat berkoordinasi dengan pihak bpjs ketenagakerjaan wilayah jawa tengah dan bpjs ketenagakerjaan pusat untuk membantu agar jaminan kematian kecelakaan atas nama adik saya agar segera dapat segera dicairkan sebab itu adalah hak ahli waris dan adik saya meninggal juga saat masih menjadi peserta bpjs ketenagajerjaan terimakasih pak gubernur ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor assalamualaikum lapor pak gub perbaikan jalan provinsi di desa pengasinan kel sridadi kec sirampog kab brebes menggunakan material dengan kualitas yang sangat buruk urugan yang digunakan untuk jalan yang amblas longsor dengan kedalaman meter fan panjang meter dengan tanah gunung bukan sirtu dan pasir untuk cor baik jalan dan pancang menggunakan pasir dari sungai tadah hujan mohon untuk ditinjau wassalamualaikum,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor gub tinggi jalan dari sungai m sedangkan rencana pembuatan pancang ditepi jln yg longsor di pengasinan sirampog cuma m itupun kalau tidak kena batu mesin bornya kalau ada batu maka dalamnya sedapatnya sedangkan tanah liat yg ada di lokasi tersebut menurut peneliti ahli tanah dari pemerintah pusat sampe m dalamnya sedangkan tanah antara sungai sampe jln provinsi yg berjarak m dipengasinan sirampog brebes berjenis tanah liat dan selalu bergerak kalau musim hujan datang nah kalau pancang itu cuma dg kedalaman m berarti masih numpang diatas tanah liat otomatis pancangpun kalau musim hujam ikut bergerak usul saya tinggi jalan dari sungai m dari sungai sampe jalan m dan tanahnya berjenis lempung tanah liat harus pancang minimal dibuat dg kedalaman s d m biar bertahap tapi jadi manfaat karna info yg aku dengar pancang akan dibuat titik jadikan titik,Selesai,dinas pekerjaan umum bina marga cipta karya
saya warga desa cikandang kec kersana brebes dulu di desa kami th ada tahap pembuatan e ktp tapi sampai saat ini e ktp tersebut belum juga jadi terus saudara saya juga pernah bikin kk melalui salah satu petugas desa dengan membayar sebesar rp tapi setelah jadi ternyata ada kesalahan dalam pengisian tanggal lahir lalu dibawa lagi ke balai desa sehari kemudian dikembalikan lagi katanya udah dibenerin tapi ternyata cuman ditutup aja kolom yang salahnya lalu ditempelin tanggal lahir yang sebenernya dan ternyata kk tersebut tidak dapat digunakan untuk membuat pasport karena datanya masih salah di tanggal lahirnya gimana tuch pak kalo seperti itu dimana tanggung jawabnya uang diterima tapi kerjaan gak becus ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asalamualaikum maaf pa sya dulu buat ktp hilag trus buat lagi tapi nik tidak muncul d data sya merantau d jakarta untuk ngurus npwp bpjs dll tidak bisa tolong d bantu pa saya tingal di pakijangan bulakamba brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
tolong perbaikan pelayanan e ktp ke brebes saya dari dlu buat e ktp belum pernah jadi sampai sekarang saya memakai ktp sementara setiap pembuatan ktp kartu tidak penah terlayani dengan alasan blanko kartu yang belum ada ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
tolong perbaikan pelayanan e ktp ke brebes saya dari dlu buat e ktp belum pernah jadi sampai sekarang saya memakai ktp sementara setiap pembuatan ktp kartu tidak penah terlayani dengan alasan blanko kartu yang belum ada ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat siang pak gub dan staff pada tanggal september pukul saya baru saja membayar pajak tahunan dan tahunan ganti plat nomor kendaraan roda didalam rincian pembayaran dituliskan sebagai berikut pkb swdkllj adm stnk adm tnkb dengan total tagihan adalah sebesar rp namun dikarenakan saya membeli motor tersebut second dan tidak ada ktp pemilik asal pada saat membayar pajak saya ditagih bayaran sebesar rp dan ketika ditanyakan mereka menjawab memang seperti ini kalau tidak bisa menunjukan ktp asli yang menjadi pertanyaan saya apakah memang ada peraturan terbaru dari pemprov jateng uu yang mengatur apabila tidak ada ktp asli pemilik motor akan dikenakan biaya tambahan rp dikarenakan tidak hanya saya yang membayar tanpa adanya ktp pada setiap harinya dan apabila diakumulasi mungkin bisa berjuta uang yang belum jelas tersebut mohon penjelasan dari staff yang terhormat kami mencoba taat bayar pajak menyempatkan waktu untuk sekedar melaksanakan kewajiban sebagai warga jawa tengah agar pembangunan infrastruktur dan pelayanan publik yang lebih baik lagi kedepannya fyi saat ini saya kuliah jurnalisme di salah satu perguruan tinggi kedinasan di jogja bisa saja saya sebarkan berita ini di media massa namun alangkah lebih baiknya apabila saya konfirmasi terhadap dinas terkait di pemprov jateng tercinta ini agar lebih jelas lagi pembayaran dilakukan di samsat capem bumiayu apabila dengan laporan ini anda menyuruh saya untuk menyelidiknya gontok an sendiri dengan pekerja di samsat alangkah baiknya situs lapor gub dan sms gub di tutup saja mohon follow upnya terimakasih muhammad faiz abdillah jl kh rosul no rt rw desa kalierang kec bumiayu kab brebes sertar faiz gmail com,Selesai,badan pengelola pendapatan daerah
pak saya sedang buat ktp di kabupaten brebes hampir bulan belum jadi kok bisa ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor bapak gubernur yth pelayanan pembuatan e ktp dan administrasi kependudukan lainnya di kec losari kabupaten brebes jateng di persulit dengan alasan komputer error atau blangko habis dari tanggal mau buat e ktp kata petugasnya komputer error dan di suruh datang kembali pada hari senin tapi lagi dengan alasan yang sama komputer error belum lagi di pungli untuk pembuatan surat pengantar dari desanya padahal pembuatan e ktp sudah tidak perlu lagi surat pengantar berikut sumbernya http setkab go id tidak perlu surat rt rw kini mengurus e ktp dan akta kelahiran cukup fotokopi kartu keluarga saya mohon janganlah masyarakat di persulit atau dibuat sulit walaupun persyaratan sudah lengkap yang pada akhirnya mengarahkan masyarakat untuk dibuatkan lewat calo di desa mohon kepada pihak terkait agar di follow up dan jika perlu di sidak pak di tiap tiap desa dan kecamatan mengingat kami masyarakat mau tertib administrasi dan jangan di persulit belum lagi jika rumah kami jauh dari kecamatan kebayang susah menguras waktu dan tenaga kami masyarakat yang mau berubah untuk tertib administrasi kependudukan dan tidak mendukung calo dan pungli terimakasih salam revolusi mental,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
yth gubernur jateng pembuatan perekaman e ktp di kec losari kab brebes sangat di persulit padahal aturan sekarang cukup membawa copy kk saja saya sangat kecewa dan merasa di permainkan oleh petugas kecamatan karena sudah x bolak balik dengan alasan yg sama komputernya lagi error padahal sy lihat orang yg dibawa oleh perangkat desa bisa langsung perekaman apakah ini cara di kecamatan sengaja di persulit dengan alasan error supaya masyarakat pada akhirnya di suruh mengurus lewat calo di desa dengan tarif rb ini yang sy alami pak sekiranya bapak gubernur bisa melihat keadaan ini semoga program presiden untuk memberantas pungli bisa menyentuh kalangan dari bawah terimakasih pak,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
mohon verifikasinya pak saya kemarin perpanjang stnk tahunan ganti plat saat cek fisik di samsat brebes di pantura ko saya diminta bayar ribu rupiah apa untuk pengganti sticker cek fisik ya sayangnya saya ga ada bukti rekaman atau video untuk memperjelas mohon konfirmasinya terima kasih ,Selesai,badan pengelola pendapatan daerah
kpd pihak yg terkait mohon di tertibkan pembuatan ktp di daerah brebes bnyk sekali pungli oleh oknum saya merasa bingung sejak bulan agustus smp skrg ktp saya belum jadi juga sedangkan temen saya bikin bulan september lgsg jadi hari itu juga dgn biaya rb sedangkan saya dgn biaya rb tolong di tindak lanjutkan saya sudah muak harus bolak balik dr jkt ke brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pak bupati brebes tolong untuk pembuatan ktp di selidiki bnyk oknum pegawai yg pungli saya membuat ktp dr bulan agustus sampe skrg blm jadi sedangkan teman saya bikin ktp bulan september dlm wkt hr lgsg jadi dgn tarif rb sedangkan saya tarif nya rb kl kyk gt terus saya mending pilih yg rb ketimbang rb tp gak jelas kapan jadi nya ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor pak saya dari brebes pd tgl desember saya mutasi sepeda motor pada kwitansi rincian penbayaran rb tp di rincian stnk beda menjadi rp dan ada sanksi adm katanya bebas denda ,Selesai,badan pengelola pendapatan daerah
jalan sepanjang kota bumiayu sudah mulai rusak parah kata orang orang belum pernah ada perbaikan total hanya di tambal sulam saja tolong minta perhatiannya,Selesai,dinas pekerjaan umum bina marga cipta karya
ktp elektronik hilang sudah minta surat pengantar desa dan surat kehilangan kepolisian dari september lapor kecamatan bulakamba kab brebes katanya blanko abis lalu disuruh ke disdukcapil brebes jawabanya blanko abis padahal saya minta sekedar surat ktp sementara untuk keperluan administrasi bank dll dijawab dg ketus dan marah blanko abis dan printer rusak jd g bisa cetak yg parah rusak sampai laporan dibuat padahal yg blm ektp katanya tdk bisa ikut pilkada dan blanko baru ada sekitar bulan mei tolong follow up pak karena suara saya untuk anda waktu itu ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
jalan rusak dan berlubang dibawah jembatan tol pejagan mohon segera di perbaiki,Selesai,dinas pekerjaan umum bina marga cipta karya
assalamualaikum pak gubernur yang saya hormati rumah saya sekarang kebanjiran genangan air mencapai cm saat ini alamat di jl cempaka no rt rw losari kidul losari brebes tepat meter perbatasan cirebon jawa barat tepat berada di pantura sudah hampir tahun warga rt rw kalau hujan lebat pasti rumah kemasukan air karena banjir pihak balai desa belum pernah ada solusi untuk warga seperti kami dari kepala terdahulu hingga yg baru kami selalu sewa mesin sedot air sawah untuk menyedot air dipemukiman kami selalu begitu dan begitu itu hanya karena hujan belum lagi jika air sungai cisanggarung perbatasan jabar jateng meluap seperti tahun warga rt mengungsi ke kantor kacamatan karena banjir mencapai hampir meter mohon solusi pak gubernur sekiranya bapak bersedia untuk meninjau ke lokasi langsung daerah perbatasan kan cerminan suatu provinsi terima kasih pak wassalamualaikum ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
assalamualaikum pak gubernur yang saya hormati rumah saya sekarang kebanjiran genangan air mencapai cm saat ini alamat di jl cempaka no rt rw losari kidul losari brebes tepat meter perbatasan cirebon jawa barat tepat berada di pantura sudah hampir tahun warga rt rw kalau hujan lebat pasti rumah kemasukan air karena banjir pihak balai desa belum pernah ada solusi untuk warga seperti kami dari kepala terdahulu hingga yg baru kami selalu sewa mesin sedot air sawah untuk menyedot air dipemukiman kami selalu begitu dan begitu itu hanya karena hujan belum lagi jika air sungai cisanggarung perbatasan jabar jateng meluap seperti tahun warga rt mengungsi ke kantor kacamatan karena banjir mencapai hampir meter mohon solusi pak gubernur sekiranya bapak bersedia untuk meninjau ke lokasi langsung daerah perbatasan kan cerminan suatu provinsi terima kasih pak wassalamualaikum ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
assalamualaikum wr wb pak gubernur yg terhormat mohon pengurusan e ktp di kab brebes dipercepat soalnya sekarang urus apa harus pakai e ktp sedangkan e ktp sampai skrg blom jadi,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor masalah mengenai pajak motor saya dengan plat nomor g ej sudah selesai telah diklarifikasi dengan bapak ridho dan bapak ta at dari samsat capem bumiayu ada kesalahan pembayaran dan sudah dikembalikan terimakasih atas follow upnya yang sangat bagus semoga semakin sukses ke depannya untuk pemprov jateng dan jajarannya faiz,Selesai,badan pengelola pendapatan daerah
lapor tolong untuk jalan pantura tepatnya di jembatan setelah brebes area tanjung trdapat lubangan yg besar mohon untuk diperhatikan karena banyak trjadi kecelakaan terimakasih ,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor jalan rusak parah di ruas jalan tonjong kab brebes sampai ke klonengan prupuk mohon segera di perbaiki karna dengan kondisi jalan rusak arus lalin tersendat dan kadang menyebabkan kemacetan panjang ,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor kepada yth bp ganjar saya mau lapor mewakili adik saya mohon di sidak pak pelayanan kecamatan larangan brebes jawa tengah pelayanannya mengecewakan trus banyak calonya mohon di tindak adik saya rugi pak buat perekaman ktp saja waktu sehari saja tidak cukup pdhl dia hrus p p ke jakarta izin saja sudah di potong gaji tapi hasilnya nihil pak mohon di tindak pak bawahannya,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
assalamualaikum pak gubernur saya warga kel mlayang kec sirampog kab brerbes didaerah saya inprastruktur desa telah rusak parah jalan dan irigasi rusak parah tapi tidak ada penanganan sama sekali dari pihak aparat desa kadang ada perbaikan jalan dan irigasi masih swadaya masyarakat karena sering terjadi kecelakaan yang mau saya tanyakan apakah dana desa sudah bergulir apa belum karena sampai saat ini di kelurahan mlayang tidak ada kegiatan pembangunan sama sekali mohon perhatiannya terima kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat pagi pak gubernur maaf saya mau tanya pembuatan ktp elektronik di wilayah banjarharjo kabupaten brebes kenapa belum jadi padahal sudah hampir tahun terima kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
sugeng ndalu pk ganjar mau mmberi tauka pak gub jlan bumiayu salem sudah banyak lobang kab brebes ,Selesai,dinas pekerjaan umum bina marga cipta karya
untk ruas jalam yg di lalui damtruk bantarkawung bumiayu yg rusak jlan seblah kiri karna pada saat damtruk bawa muatan berlebih itu arah bntarkawung ke bumiayu tapi yg sblah kanan mulus saja berarti jalan tidak kuat karna muatan damtruk berlebih tonasenyamuatanya mohon di cek agar jlan nda bo,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor pak saya mencoba mewakili sebagian suara rakyat brebes selatan tepatnya di kec paguyangan perihal e ktp yg mana pertanyaan tentang apakah bahan e ktp tidak ada apakah kami rakyat brebes selatan harus berangkat sendiri ke brebes dinas kependudukan untuk meminta stempel lantas apa gunanya ada pegawai kecamatan apakah ada jaminan ketika kami datang ke brebes semua di permudah jarak brebes ke kec paguyangan jam karena pengalaman yg sudah dari warga antri disna bisa sampai harian sekian pertanyaan saya besar harapan saya panjenengan memberi solusi kepada kami warga brebes selatan dalam waktu dekat karena kami selalu berusaha menyelesaikan kewajiban kami dan pantas jika kami mengharapkan hak kami salam ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
saya mau blokir stnk mobil lama sy yg udh lama sy jual krn mw beli lagi tp td diminta ad fotokopi stnk kndaraan lama saya padahal udah gak tau posisi mobil lama sy dmn ap emang harus pake fotokopi stnk yg lama ya klo iya berarti sy gak bs donk blokir stnk lama sy krn nyarinya kn susah mohon solusi sya kurniadi dr brebes yg mw sy blokir mobil dg plat g ng ,Selesai,badan pengelola pendapatan daerah
lapor saya ngurus kehilangan e ktp di kabupaten brebes sejak bulan desember sampai sekarang belum jadi juga dengan alasan belum ada blangko awalnya dijanjikan bulan jadi kemudian berubah lagi jadi bulan tolong segera ditindaklanjuti ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor saya ngurus kehilangan e ktp di kabupaten brebes sejak bulan desember sampai sekarang belum jadi juga dengan alasan belum ada blangko awalnya dijanjikan bulan jadi kemudian berubah lagi jadi bulan tolong segera ditindaklanjuti ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
pagi pak saya bkn ktp dr bln th sampe skrg bln blm jd pak kec songgom kab brebes ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat siang pak maaf saya mau tanya kenapa pembuatan ktp elektronik belum jadipadahal sudah hampir tahun domisili saya dari desa pende kec banjarharjo kabupaten brebes mohon bantuannya terima kasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
bpk gubernur yang terhormat mohon di laksanakannya revitalisasi sungai sigeleng di kabupaten brebes karena setiap hujan di desa kami kelurahan limbangan kulon selalu banjir baik di rumah rumah maupun jalan utama desa mohon segera direalisasikan karena kami sudah lelah dengan masalah banjir yang selalu datang saat hujan turun matur nuwun ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
yth bpk ganjar saya ingin melaporkan ttg pembuatan e ktp saya saya berasal dr kota brebes jawa tengah sudah mau satu tahun e ktp saya blm jadi dengan beralasan blangko habis jd saya hnya dpt ktp sementara saja mohon ditindak lanjuti pak ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
selamat malam pa maaf pa sudah larut malam saya kirim pesan ini karna baru tau ada no pengaduan terkait masalah yg ada d daerah saya gini pa saya sudah buat e ktp hampir thn tapi kok belum jadi juga ya saya tinggal d bumiayu tepatnya d desa benda kecamatan sirampog tapi saat ini saya kerja d jkt terus terang saja pa ktp buat saya penting bgt karna saya d tolak mendaftar go jek hanya gara ktp masih berupa resi padahal niatnya buat cari tambahan setelah pulang kerja kalo ga ada tambahan terasa berat banget rasanya hidup d tengah jakarta mohon bapa sudi untuk mencari tau kalo bisa sih sesegeranya karna proses udah terlalu lama makasih,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
asslmkm bp ganjar pa tolong buat pembuatan cetak ulang e ktp di kecamatan kersana kabupaten brebes jawa tengah harap di cek soalnya setiap hari server selalu eror dan harus menunggu lama dan pekerja yg di kantor kecamatan responya kurang enak mohon solusinya pak terima kasih salam saya moh arif saefudin,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
