Message,Status,Department
kpd bpk gubernur yth mohon ad ketetapan dri phk terkait tentang potongan tata cara jual beli emas di kmpg saya tegal slawi brebes karena ketentuan yg ada sekarang sangat merugikan rakyat kecil mhn di tertibkan pak,Selesai,dinas perindustrian dan perdagangan
pak gubernur untuk pengurusan e ktp sangat lm sudah mau satu tahun belum jadi payah untuk di kecamatan bumiayu kab brebes atas nama ecip suwandito ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
ass tolong kami pak gubernur jalur tengah bumiayu ajibarang dikuasai truk besar dan berat smpe macet total kami masyarakat tidak bs beraktifitas anak kesulitan brangkat sekolah krn angkot tidak beroperasi blm lg korban jiwa yg tergilas roda truk tolong kami pak ,Selesai,dinas pendidikan dan kebudayaan
kepada yth gubernur jateng saya pemilik nopol g ss tertera dikeluarkan stnk sejak tgl september sudah tahun bayar pajak kendaraan roda dua tidak ada masalah pada tgl september ketika akan bayar pajak kendaraan di kantor samsat pekalongan ternyata sudah berganti nama pemilik satu nopol dua pemilik yg berdomisili di brebes padahal alokasi nopol tsb kota pekalongan saya konfirmasi ke petugas samsat pekalongan karena kesalahan server samsat dan pihak yg bisa mengganti merubah data tsb pihak samsat pusat semarang kenapa bisa terjadi pemilik ganda kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl september orang bijak taat pajak jangan dipersulit atas perhatian kerjasamanya saya ucapkan terima kasih ,Selesai,badan pengelola pendapatan daerah
kepada yth gubernur jateng saya pemilik nopol g ss tertera dikeluarkan stnk sejak tgl september sudah tahun bayar pajak kendaraan roda dua tidak ada masalah pada tgl september ketika akan bayar pajak kendaraan di kantor samsat pekalongan ternyata sudah berganti nama pemilik satu nopol dua pemilik yg berdomisili di brebes padahal alokasi nopol tsb kota pekalongan saya konfirmasi ke petugas samsat pekalongan karena kesalahan server samsat dan pihak yg bisa mengganti merubah data tsb pihak samsat pusat semarang kenapa bisa terjadi pemilik ganda kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl september orang bijak taat pajak jangan dipersulit atas perhatian kerjasamanya saya ucapkan terima kasih ,Selesai,badan pengelola pendapatan daerah
sampai kapan lalulintas tanjung menuju salem dibiarkan rusak terbengkalai tanpa adanya perhatian pihak terkait apalagi dilintasan gn lio yg jalannya menanjak drastis ditambah jalannya yg amburadul mohon perhatiannya dr pihak terkait terimakasih,Selesai,dinas pekerjaan umum bina marga cipta karya
asalamualaikum dengan sangat memohon saya atas nama warga berebes desa kedung tukang saya mau menginformasikan di desa saya ada bantuan yg tidak jelas dan yang mendapatkan malah orang yg mampu tolong di tindak lanjutilanjuti ,Selesai,dinas tenaga kerja dan transmigrasi
maaf pa kapan ada kereta api yang langsung dari brebes ke semarang dulu ka kaligung bisa dari brebes sangat membantu kami karena segala urusan kami kebanyakan ke semarang belum lagi anak anak kami yang menimba ilmu di semarang bener itu sangat membantu kami terima kasih pa ,Selesai,dinas perhubungan
daerah kampung pacinan kalilangkap bumiayu brebes penambangan pasir sudah sangat meresahkan dulu hanya pertambangan rakyat sekarang sdh pakai alat berat jenis bego mohon di tindak lanjuti dan sangat merusak lingkungan serta jalan ,Selesai,dinas energi dan sumber daya mineral
hallo pak gub saya mau menyampaikan pengaduan untuk samsat tanjung brebes di bagian cek fisik kendaraan masih banyak yang pungli kemarin saya di tarif rb untuk cek fisik ranmor padahal menurut aturan tidak ada yang namanya pembayaran cek fisik apalagi ini tidak di sertai struk dan untuk distribusi tnkb sangat lambat sekali sudah bulan bahkan lebih tnkb belum jadi klo ga di ambil langsung ke brebes ga bakal jadi jadi gimana masyarakat mau nyaman bayar pajak mau tertib pajak aja pelayanannya begini mohon ditindak lanjuti oknum tersebut trimakasih,Selesai,badan pengelola pendapatan daerah
saya mau bayar pajak tahunan di samsat tanjung brebes kebetulan untuk pergantian stnk dan tnkb baru harus di lakukan cek fisik ulang ranmornya ada yang ganjal di sini pada saat di lakukan cek fisik ranmor petugas samsat meminta tarif rp padahal menurut aturan yang ada tidak ada yg namanya pembayaran cek fisik dan lebih anehnya lagi di struk pembayaran tidak dicantumkan yang namanya pembayaran cek fisik karena sudah adanya pembayaran stnk dan tnkb kalo begini siapa yang mau nyaman bayar pajak masyarakat tidak bayar wajib pajak disalahkan mau tertib pajak malah di buat begini berikut saya sertakan bukti videonya https www youtube com watch v oup izoayg feature youtu be silahkan biar masyarakat yang menilai,Selesai,badan pengelola pendapatan daerah
mohon maaf pak gub sejak beberapa hari yang lalu pohon pohon peneduh di sepanjang jalan provinsi bumiayu salem ditebangi semua baik yang tua atau muda tanpa penjelasan pada publik padahal keberadaannya sangat dibutuhkan untuk kenyamanan pengguna jalan mohon bapak mengonfirmasi pada dinas terkait,Selesai,dinas lingkungan hidup dan kehutanan
assalammualaikum wr wb yth pak gubernur tanggul sungai cisanggarung desa bojongsari kec losari brebes sudah tipis terkikis dikhawatirkan tanggul bisa jebol sewaktu waktu jika hujan besar tiba mohon untuk segera diambil tindakan pak karena warga desa sangat cemas jika hujan sudah turun tanggul bisa jebol kapan saja terima kasih atas perhatiannya mohon untuk segera diambil tindakan pak ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
kepada bapak gubernur ganjar pranowo sungguh ironis yang terjadi di kec bumiayu kab brebes ditengah tengah upaya pemeliharaan nilai nilai luhur pahlawan yang telah gugur nasib penjaga taman makam pahlawan kusuma tama ii bumiayu seolah terabaikan penjaga tmp tidak menerima honor tetap maupun berkala dari pemkab brebes dia hanya diberi keleluasaan untuk mengolah sebidang tanah kecil tanah sawah dengan penghasilan setiap panen tidak menentu disisi lain penjaga tmp terbebani operasional perawatan yang secara rutin wajib dilakukan mulai kebersihan pemangkasan rumput maupun pengadaan lampu penerangan bahkan ironisnya lagi penjaga tmp juga membayar surat pemberitahuan pajak terutang sppt atas sawah yang digarap yang sedianya merupakan mungkin milik pemerintah tanpa mengurangi rasa hormat sebagai warga masyarakat kami merasa prihatin atas kondisi yang telah berlangsung lama ini mohon kiranya pak gub dapat memfasilitasi untuk turut serta memperhatikan nasib penjaga tmp demi terpeliharanya rasa bangga kasebagai bangsa yang memiliki pahlawan matur sembah suwun,Selesai,badan kepegawaian daerah
kepada bapak gubernur ganjar pranowo sungguh ironis yang terjadi di kec bumiayu kab brebes ditengah tengah upaya pemeliharaan nilai nilai luhur pahlawan yang telah gugur nasib penjaga taman makam pahlawan kusuma tama ii bumiayu seolah terabaikan penjaga tmp tidak menerima honor tetap maupun berkala dari pemkab brebes dia hanya diberi keleluasaan untuk mengolah sebidang tanah kecil tanah sawah dengan penghasilan setiap panen tidak menentu disisi lain penjaga tmp terbebani operasional perawatan yang secara rutin wajib dilakukan mulai kebersihan pemangkasan rumput maupun pengadaan lampu penerangan bahkan ironisnya lagi penjaga tmp juga membayar surat pemberitahuan pajak terutang sppt atas sawah yang digarap yang sedianya merupakan mungkin milik pemerintah tanpa mengurangi rasa hormat sebagai warga masyarakat kami merasa prihatin atas kondisi yang telah berlangsung lama ini mohon kiranya pak gub dapat memfasilitasi untuk turut serta memperhatikan nasib penjaga tmp demi terpeliharanya rasa bangga kasebagai bangsa yang memiliki pahlawan matur sembah suwun,Selesai,biro kesejahteraan rakyat
assalamu alaikum yang kami hormati bapak gubernur jateng mohon ijin kami mewakili masyarakat brebes khusunya desa sigempol randusanga kulon memohon kepada bapak gubernur untuk mencarikan investor yang bisa membangun pabrik pengolahan rumput laut di daerah kami sehingga akan dapat menyerap tenega kerja lokal dan sumber alam yang sangat melimpah yaitu rumput laut jenis gracilaria tertampung di pabrik tersebut jika sudah mempunyai pabrik di jawa tengah maka masyarakat jawa tengah khususnya petani rumput laut sepanjang pantai utara jawa tengah tidak lagi menjual keluar wilayah jawa barat dan jawa timur demikian mohon sekiranya bapak gubernur bisa menanggapi dengan serius dan bijaksana demi kemajuan masyarakat jawa tengah demikian kami tunggu konfirmasinya dan jawabanya wassalamu alaikum,Selesai,dinas penanaman modal dan pelayanan terpadu satu pintu
yth bpak gubernur jateng apakah benar biaya pembuatan sertifikat tanah di kab brebes mahal saya membeli tanah seluas m dengan harga juta saya diminta membayar pembuatan sertifikat sebesar juta saya sedang bekerja dikorea dan yang mengurus pembuatan sertifikat orang tua saya mohon penjelsan secepatnya terima kasih atas waktu bpak ,Selesai,kabupaten brebes
yth bpk ganjar pranowo gubernur jawa tengah bapak mohon diperhatikan infrastruktur jalan menuju desa pandansari kec paguyangan desa wanareja kec sirampog kab brebes yang terkenal dengan agrowisata perkebunan teh kaligua jalannya sangat rusak dan tidak ada perhatian dari pemda setempat kab brebes padahal perekonomian di desa tersebut sangat maju dari hasil pertaniannya hortikultura yang dibutuhkan masyarakat setempat hanyalah infrastruktur jalan yg baik dari jalan raya menuju desa setempat bapak gubernur juga pernah kesana berharap pemprov dan pemda tidak hanya mengambil pajak masyarakat tetapi tidak ada timbal balik dari pemprov pemda untuk masyarakat tks,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor jalan desa sarireja kec tanjung kab brebes rusak parah sepanjang jalan desa rusak berlubang kalau hujan seperti rawa rawa adapula jembatan yg berlubang ditengah ,Selesai,kabupaten brebes
assalamualaikum wr wb pak ganjar yth pak saya warga brebes yang mayoritas bermata pencaharian sebagai petani bawang merah pak harga pupuk di brebes mahal belum lagi harga irigasi dll padahal pak harga pasar saat sekarang sangat amat murah pak tidak sepadan dengan harga pupuk sekarang pak saya mohon kalau mau harga pasar yang murah tolong harga pupuk dan yang lain juga dibetulkan pak saya sangat ironis sekali ketika petani di brebes sangat banyak yang gulung tikar karena tidak sepadan dengan harga pasar mudah mudahan pak ganjar yth bisa melihat dan mungkin bisa sidak ke petani brebes bisa merasakan kesulitan kami terimakasih pak ganjar mudah mudahan saja pak ganjar dapat melihat tulisan ini wassalamuallaikum wr wb,Selesai,dinas perindustrian dan perdagangan
lapor pa gubernur tolong di tindak lanjuti inilah hasil pekerjaan jalan salem banjarharjo yg menghabiskn anggaran milyaran rupiah ,Selesai,dinas pekerjaan umum bina marga cipta karya
pak gubernur yang kami hormati saya mau melapor pak saya kecewa dgn penanganan rsup dr kariadi semarang saudara saya yg sedang menderita tumor ganas d rawat d sana sampai detik ini sudah sebulan lebih tp blm ada penanganan apa apa pasien d biarkan tergeletak saja kami mohon bapak bantu kami untuk bicara ke pihak rs nya pak agar cepat d tangani ini masalah nyawa mungkin kalau pejabat yang ngomong akan langsung di tangaapi pasien bernama prapti yuniarsih dari kota brebes pak kesana dgn bantuan bpjs terima kasih pak,Selesai,dinas kesehatan
lapor saya pemenang lelang pembangunan talud saluran dan plat deuker di desa tegal glagah kec bulakamba kab brebes pemilik pekerjaan dinas cipta karya dan tata ruang provinsi jateng sumber dana apbd prov jateng sampe sekarang tidak ada tindak lanjut padahal pengumuman lelang sejak tgl juli dengan penjelasan tidak berani mencairkan dana hibah atau bansos karena terbentur aturan pusat tapi sekarang sudah keluar se mendagri mohon pak gub memberikan penjelasan mau di cairkan tidak dana hibah atau bansos tersebut jangan takut pak gub kalo ada apa apa ya mendagri yang bertanggung jawab matur nuwun pa,Selesai,dinas perumahan rakyat dan kawasan permukiman
yth bapak gubernur tolong awasi operasi kendaraan yang ada di brebes karena hampir berlangsung setiap hari khususnya di jembatan kali pemali maupun di tempat lain dikhawatirkan adanya praktek sidang di tempat terima kasih,Selesai,dinas perhubungan
di brebes berkas surat tilang tidak dikirim ke pengadilan saat tanggal sidang oleh pengadilan kami disarankan ke kantor polres brebes ternyata di sana sudah ada antrian cukup panjang orang senasib dng kami denda pelanggaran lalin harus dibayar di situ tanpa bukti pembayaran apapun rp untuk semua jenis pelanggaran masyallah tolong pak gubernur yth hari gini masih ada juga oknum polisi yg bermain terima kasih ,Selesai,kepolisian daerah jawa tengah
lapor laporan mohon d tindak lanjuti adanya kenaikan pengurusan stnk bpkb unit baru d samsat brebes sebesar dan sekarang mau d wacanakan kembali k,Selesai,badan pengelola pendapatan daerah
pungli dijembatan timbang tanjung pejagan kab brebes tolong ditindak secara diam diam sbb ada oknum anggota yg terlibat dan selalu membocorkan sehingga selalu lolos razia jam aktif mereka jam wib sampai wib,Selesai,dinas perhubungan
lapor pungli saat ini pun masih berlangsung hampir jam dijembatan timbang tanjung pejagan kab brebes mohon segera ditindak secara diam diam sbb ada anggota polisi yg terlibat langsung ditempat mereka selalu lolos razia karena ada yg membocorkan lapor pada polisi setempat tidak ada tanggapan ,Selesai,dinas perhubungan
yth gubernur telah terjadi pungli di jembatan timbang kawasan tanjung kab brebes jateng mereka meminta jatah setiap hari dgn bebas dan di bekingi oleh oknum polisi jam aktif pungli jam wib sampai malam penuh pendapatan mereka mencapai jutaan hingga puluhan juta perhari mohon ditindak secara tegas dan rutin berikan sanksi buat para polisinya sekalian biar jera ,Selesai,dinas perhubungan
banyak ditemukan kedholiman di pegawai dispendukcapil kab brebes dari calo calo pembuatan e ktp kk dll serta pungli biaya pengambilan e ktp dll mohon pak gubernur membersihkan hal hal yg berkaitan tersebut sesudahnya kami sampaikan banyak terima kasih salam perjuangan merdeka by an im falakhudin full timer ibu renny wara s permana kakak kandung bpk pramono anung ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
hidup pungli dijembatan timbang tanjung brebes yang sudah beraksi kembali selamat menikmati uang para sopir yg lolos dari jembatan timbang pak polisinya cerdas keadaan itu langsung dimanfaatkan dan uangnya masuk kantong pribadi sekali lagi selamat ,Selesai,dinas perhubungan
yth bapak gubernur terima kasih sudah menindak lanjuti praktek pungli di jembatan timbang tanjung kab brebes beberapa waktu yang lalu namun sangat di sayangkan praktek pungli itu kembali lagi sekarang operasi mereka dilakukan pada pukul wib hingga pagi dan di belakangi oknum polisi dan tni praktek mereka msh sama disebuah warung m sebelah timur jembatan timbang mohon ditindak secara tegas dan rutin jalan rusak bukan mereka yg benerin tapi uang masuk kantong mereka tolong di perhatikan benar benar terima kasih ,Selesai,dinas perhubungan
lpaor pak gubernur yth saya tahu pak yg melakukan pungli di jembatan timbang kec tanjung kab brebes memang bukan pegawai yg bekerja di jembatan timbang itu tapi mereka pun tahu dan sengaja membiarkan justru yg mengambil pungli itu adalah orang awam biasa yg diperalat oknum polisi dan pegawai dari dishub itu sendiri mohon ditindak secara diam diam sbb oknum polisi itu bersembunyi di sebuah warung m sebelah timur jembatan timbang mereka mendapatkan keuntungan besar perharinya jangan tertipu oleh kebohongan yg katanya cuma rb rb saja tapi jutaan silahkan di amati dgn seksama jalan rusak siapa yg bertanggung jawab mereka cuma parasit keringat sopir truk maaf bila ada perkataan yg kurang sopan dan lucunya para pemungut itu tiap kali mau digaruk pasti sudah tak ada di tempat sehingga seolah olah laporannya yg palsu jam pungli mereka berubah menjadi pukul wib sampai malam menjelang pagi terima kasih ,Selesai,dinas perhubungan
tolong kepada pihak terkait untuk di lakukan sidak di samsat tanjung brebes karena untuk pembayaran pajak tahunan dengan cek fisik kendaran masih ada pungli sebesar rp di minta dengan alasan uang gosok tanpa adanya bukti pembayaran struk padahal di skpd sudah jelas ada pembayaran adm tnkb dan stnk saya mohon janganlah masyarakat di buat bodoh terimakasih atas tanggapannya,Selesai,badan pengelola pendapatan daerah
lapor gubernur yth pungli di jembatan timbang kec tanjung kab brebes ternyata belum steril dari pungli yg masih main kucing kucingan mereka sangat pintar mencari waktu disaat sudah aman dari pengawasan terlihat jelas penghasilan yg mereka dapatkan begitu besar sehingga mereka berani menantang resiko hukum sebut saja salah satu pelaku pungli itu bernama carlan yg berasal dari desa kemurang kulon dalam waktu bulan mampu meraup uang sebesar juta lebih utk membeli motor baru dan kebutuhan mewah lainnya kerja mereka berkelompok dan bergilir bila di kumpulkan ada orang lebih termasuk oknum polisi dan tni yg membekingi mereka saya benci mereka yg memanfaatkan keadaan demi keuntungan pribadi tanpa tahu jalan rusak karena ulah mereka terima kasih atas tindakan yg telah dilakukan dan akan terus saya laporkan bila masih saja tindakan pungli itu berjalan lagi ,Selesai,dinas perhubungan
mohon adanya normalisasi di anak sungai kaligangsa wetan karena sering banjir di perum taman indo desa kaligangsa wetan kab brebes kondisi elevasi dasar sungai sangat tinggi hampir sama dg daratan ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
mohon di permudah bikin ktp udah bulan belom jadi di desa grinting kec bulakamba kab brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
petani di daerah brebes kec bulakamba desa grinting kalau mau mengairi sawah masa kudu bayar kalau gak bayar ga di aliri kalau di bayar juga ada jam nya gi mana mau maju petani nya ini musim padi tolong di lancar kan air nya ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
lapor yth pemprov jateng mohon tertibkan atau gusur atau relokasi warung poci malam hari di jalan prof m yamin brebes belakang kantor pos yang merusak limgkungan meresahkan menyediakan miras secara terselubung ,Selesai,satpol pp
lapor yth pak gubernur saya sangat kecewa dengan terhentinya pengawasan aktif pada jembatan timbang di tanjung brebes saya sudah melihat ada kamera cctv yg terpampang namun pungutan liar masih saja terjadi sudah saya beritahukan bahwa pungli itu menghasilkan uang yg besar makanya mereka tak mau melepaskan penghasilan itu begitu saja mereka bersembunyi bila ada patroli namun mereka kembali beraksi saat sudah aman saya beritahukan pak jam aktif mereka sekarang antara jam wib sampai wib bahkan saya pernah melihat mereka aktif dari sore hari sampai pagi hari mereka tak akan berhenti melakukan pungli itu sampai mereka benar benar ditangkap dan yg lebih penting itu adalah oknum yg membekingi mereka mohon di cek kembali sampai benar benar bersih dan lakukan secara rutin terima kasih ,Selesai,dinas perhubungan
lapor bapak gubernur pungli di jembatan timbang tanjung kab brebes ternyata masih aktif tolong segera ditindak dan ditangkap orang yang menarik iuran dari truk yang melintas mereka menarik upeti diluar area jembatan timbang dan bebas membagikan hasilnya dgn para petugas yang bersembunyi didalam warung mereka melakukannya antara jam sampai jam pagi ada kamera cctv tapi mereka masih nekat atau kameranya memang tak berfungsi maksimal terima kasih dan tolong ditinjau kembali ,Selesai,dinas perhubungan
lapor pak ganjar ngapunten infrastruktur disepanjang jalan pantura mohon diperbaiki sebelum pekan mudik nggih pak dikarenakan selama ini proyek perbaikan justru malah menimbulkan macet di waktu yg padat mudik mohon maaf krn jika kami masuk brebes maka akan jelas terlihat kualitas jalan antara jabar dan jateng setidaknya dikota gerbang jateng diperindah pak matur nuwun pak gubernur ,Selesai,dinas pekerjaan umum bina marga cipta karya
mohon maaf sebelumnya saya kursin umur tahun tinggal di desa kaligangsa wetan kecamatan brebes saya memiliki adik bernama mahrifah umur tahun yang sehari hari bekerja di kebidanan rsud kajen sebagai tenaga blud dan menjadi peserta bpjs ketenagakerjaan adik saya tinggal dengan bapak saya di desa tegalsuruh rt rw kecamatan sragi kabupaten pekalongan adik saya mengalami kecelakaan saat berangkat dinas tanggal januari dan meninggal di rumah sakit budi rahayu kota pekalongan tanggal januari menurut pihak rsud kajen adik saya sudah dibayarkan iuran bpjs ketenagakerjaan sampai bulan januari dan saya diminta mengajukan klain jaminan kecelakaan kerja jkk dan saya pun mengajukan klain jaminan kecelakaaan kerja tanggal januari kelengkapan berkas pengajuan lengkap tanggal januari karena menunggu surat keterangan dari bpjs kesehatan karena adik saya meninggal di rs dan dibiayai oleh bpjs kesehatan dan jasa raharja pada saat mengumpulkan kelengkapan berkas dari pihak bpjs ketenagakerjaan meminta saya untuk menunggu konfirmasi selanjutnya dan semua kekurangan akan dikoordinasikan dengan pihak terkait dan akan dilakukan proses pencairan setelah lengkap berkas pengajuan ketika saya tanyakan proses pengajuan jkk saya hanya disuruh menunggu terus tanpa penjelasan yang memadai ternyata sampai hari ini belum cair juga jkk yang kami tunggu tunggu dan ketika saya tanyakan ada penjelasan dari pihak bpjs bahwa kesertaan bpjs adik saya sudah non aktif saat mau dicairkan tanggal april sehingga menurut pihak bpjs perlu kebijakan dari pimpinan bpjs di wilayah jawa tengah dan pusat untuk itu meskipun saa tahu ini bukan kewenangan dari pak gubernur tetapi kami mohon bantuannya bepada bapak gubernur dapat berkoordinasi dengan pihak bpjs ketenagakerjaan wilayah jawa tengah dan bpjs ketenagakerjaan pusat untuk membantu agar jaminan kematian kecelakaan atas nama adik saya agar segera dapat segera dicairkan sebab itu adalah hak ahli waris dan adik saya meninggal juga saat masih menjadi peserta bpjs ketenagajerjaan terimakasih pak gubernur ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
lapor gubernur kami tak ingin terus ada pemungut liar yg mengambil kesempatan di luar jembatan timbang kec tanjung kab brebes mererka masih saja memungut upeti dari truk truk yg sengaja tidak masuk jembatan timbang sering terjadi keributan sebab masyarakat sekitar tidak ingin ada pungli mereka mengambil upeti demi keuntungan pribadi yg menimbulkan kecemburuan sosial pada dasarnya tanpa izin resmi dan melegalkan truk bebas lewat walaupun muatannya melebihi kapasitas cuma membayar diluar mereka cukup aman melintas tak peduli jalan cepat rusak dan berlubang tolong dibasmi saja para pemungut itu biar kapok biasanya sekitar pukul sampai jam pagi ,Selesai,dinas perhubungan
lapor assalamualaikum wr wb yth gubernur jateng ganjar pranowo sy ryan pratomo selaku warga kab brebes ingin mengadukan kpd pak gubenur mengenai pungli yg msh marak di kab brebes dlm hal pengurusan kependudukan mohon laporan sy ditindak lanjuti terima kasih atas perhatiannya wasalam,Selesai,inspektorat
lapor pak gubernur tolong dikaji ulang ijin penambangan batu dan pasir dikali pedes desa caruban kel purwodadi kec tonjong brebes soalnya semakin diambil terus batu dan pasirnya kalo banjir tanah disepanjang samping kali terkikis berakibat longsor terima kasih,Selesai,dinas energi dan sumber daya mineral
lapor assalamualaikum lapor pak gub perbaikan jalan provinsi di desa pengasinan kel sridadi kec sirampog kab brebes menggunakan material dengan kualitas yang sangat buruk urugan yang digunakan untuk jalan yang amblas longsor dengan kedalaman meter fan panjang meter dengan tanah gunung bukan sirtu dan pasir untuk cor baik jalan dan pancang menggunakan pasir dari sungai tadah hujan mohon untuk ditinjau wassalamualaikum,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor gub yth menanggapi laporan saya tentang pungli di luar jembatan timbang kec tanjung kab brebes bila bapak menginginkan nama dan alamat oknum yg mengambil upeti pada para sopir truk akan saya berikan informasinya walau pun ini cukup berbahaya bagi saya dari hasil informasi dan mengikuti kemana rumahnya salah satu warga yg masih aktif mengambil upeti bernama carlan dari desa kemurang kulon yg tinggalnya blok pintu air kebarat silahkan dicari pasti ketemu atau perhatikan map dibawah utk mengetahui rumahnya sbb saya ikuti pulangnya untuk oknum polisi yg suka mengejar ngejar truk namanya tertutupi jaket namun wajahnya saya kenali mereka dari pos tol pejagan dan polsek tanjung lantas utk apa saya lapor ke polsek setempat kalo pelakunya mereka dan mereka cukup cerdik mampu membaca info dari sini makanya mereka selalu aman saat beroperasi pun ditempat yg gelap apabila bapak mampu mencari informasi dari carlan dari situ semua nama yg terlibat aksi pungli bisa diketahui kami masyarakat sekitar sangat benci adanya pungutan upeti demi keuntungan pribadi mohon penindakan karena walau pun kami mengawasi kami tak sanggup bertindak melawan oknum polisi terima kasih ,Selesai,dinas perhubungan
